代码,名称,池,行业,PE,ROE,毛利率,净利率,负债率,市值(亿),营收增速,理由
002991.SZ,甘源食品,小盘,食品,17.8196,15.1936,33.9144,10.683,17.7787,39.6,22.5134,"甘源食品(食品/坚果炒货,市值39.6亿):PE 17.8对应ROE年化15.2%估值合理,毛利率33.9%净利率10.7%,负债率17.8%低,应收/营收仅0.16现金回款优,OCF/净利1.9现金流充沛,2026Q1营收6.18亿同比+"
003000.SZ,劲仔食品,小盘,食品,19.4311,19.8308,27.0339,9.636,32.7181,47.9,24.1613,"劲仔食品(食品/休闲鱼制品,市值47.9亿):PE 19.4对应ROE年化19.8%估值合理,毛利率27%净利率9.6%,应收/营收仅0.06现金回款极优,2025全年OCF/净利1.52现金流充沛,2026Q1营收7.39亿同比+24.2"
300012.SZ,华测检测,大市值,电器仪表,22.3203,9.166,45.9506,11.8075,21.6926,236.3,16.1695,第三方检测龙头。PE 22.32/市值236亿估值合理，ROE年化9.17%中等(检测业常态)，毛利46%高、净利率11.8%，营收+16.2%稳健增长，负债率21.7%财务极健康。商业模式稳定+低负债+合理估值，PASS。
300015.SZ,爱尔眼科,大市值,医疗保健,24.3311,20.9792,47.7331,20.5531,32.7198,820.2,6.1458,爱尔眼科：眼科医疗服务连锁龙头，ROE年化21%优秀+PE 24.3估值合理(ROE/PE比0.86)，毛利率47.7%净利率20.6%双高体现品牌溢价与定价权，负债率32.7%稳健。营收增速6.1%偏慢但眼科刚需属性+连锁扩张模式护城河深
300033.SZ,同花顺,大市值,软件服务,54.0312,12.4232,84.9881,24.2927,60.8031,1805.0,40.8063,金融信息服务龙头。PE 54.03/市值1805亿偏贵，但毛利85%极强、净利率24.3%，营收+40.8%高增长(AI+行情活跃驱动)，ROE年化12.4%，负债率60.8%主要为预收性质。龙头壁垒+高毛利+高增长，估值贵但成长消化，临界
300059.SZ,东方财富,大市值,证券,24.1184,15.9488,85.7052,351.7038,78.265,3161.3,31.0487,互联网券商龙头。金融豁免按ROE评估：ROE年化15.95%优秀，营收+31%高增长(行情活跃+基金代销)，PE 24.12/市值3161亿券商合理估值，负债率78%为证券经营杠杆常态不看。ROE优秀+高成长+龙头地位，PASS(注：净利率
300127.SZ,银河磁体,大市值,矿物制品,45.4564,13.9564,37.6027,22.4391,7.438,87.3,33.6074,粘结钕铁硼永磁材料(机器人/新能源磁材)。PE 45.46/市值87亿偏贵，但负债率仅7.4%财务极健康，ROE年化13.96%良好，毛利37.6%、净利率22.4%优质，营收+33.6%高增长。零负债+高净利率+高增长，成长消化估值，PA
300146.SZ,汤臣倍健,大市值,食品,23.404,14.2008,69.1471,21.5692,17.6112,170.7,4.3046,膳食营养补充剂龙头。PE 23.4/市值171亿合理，ROE年化14.2%良好，毛利69.1%、净利率21.6%强品牌溢价，负债率17.6%极低财务健康，营收+4.3%增速偏缓。高毛利+高ROE+低负债，消费品牌稳健标的，PASS(关注增长
300181.SZ,佐力药业,大市值,中成药,15.4863,24.1768,63.8346,22.5008,34.4672,100.7,8.8998,中成药(乌灵胶囊独家中药)。PE 15.49/市值101亿显著低估，ROE年化24.18%优秀，毛利63.8%、净利率22.5%强定价权，营收+8.9%稳健，负债率34.5%正常。低估值+高ROE+中药品牌壁垒，明显低估标的，PASS。
300206.SZ,理邦仪器,小盘,医疗保健,20.7479,18.7192,58.4325,20.5731,12.7052,71.7,22.8216,"理邦仪器(医疗保健):PE20.7/市值71.7亿,ROE年化18.7%优秀,毛利58.4%,净利20.6%,负债率12.7%极低,营收+22.8%高增.冷信:无显著突变,数据干净.加权4.2星PASS:高盈利质量+高成长+低杠杆+估值合理"
300308.SZ,中际旭创,大市值,通信设备,71.9789,70.198,46.0581,32.3998,32.6362,10760.0,192.1169,中际旭创：全球光模块龙头(AI算力核心)，ROE年化70.2%极优秀+营收增速192%爆发，毛利率46.1%净利率32.4%双高，负债率32.6%稳健。PE 71.98绝对数高但对应192%增速PEG仅0.37，成长消化估值能力强。万亿市值
300357.SZ,我武生物,大市值,生物制药,30.5914,17.802,95.2454,46.0814,3.7135,130.3,10.6662,脱敏治疗龙头(粉尘螨滴剂稀缺品种)。PE 30.59/市值130亿合理，ROE年化17.8%良好，毛利95.2%极强、净利率46.1%顶级，负债率仅3.7%几乎零负债，营收+10.7%稳健。稀缺垄断品种+超高盈利+零杠杆，优质医药标的，PA
300373.SZ,扬杰科技,大市值,半导体,38.4279,15.8292,36.8127,17.8136,39.4263,526.7,34.8678,功率半导体器件龙头。PE 38.43/市值527亿中性偏高(PEG约1.1)，ROE年化15.83%良好，毛利36.8%、净利率17.8%优质，营收+34.9%高增长(功率景气+国产替代)，负债率39.4%正常。高成长+良好盈利，估值匹配，
300406.SZ,九强生物,小盘,医疗保健,32.4523,11.0016,81.9386,31.5436,25.0377,68.9,4.6906,"九强生物(医疗保健/体外诊断):PE32.5/市值68.9亿,ROE年化11%,毛利81.9%极高(IVD试剂特征),净利31.5%高,负债率25%低,营收+4.7%偏慢.冷信:无显著突变,数据干净.加权3.9星PASS:极强盈利质量+低杠"
300408.SZ,三环集团,大市值,元器件,88.0313,14.362,43.4889,29.4967,17.1361,2532.3,46.2513,MLCC/陶瓷材料龙头(国产替代核心)。PE 88.03/市值2532亿高但营收+46.3%增速快(PEG约1.9)，ROE年化14.36%良好，毛利43.5%、净利率29.5%优秀，负债率仅17.1%财务极健康。龙头壁垒+高净利率+低杠杆
300415.SZ,伊之密,大市值,专用机械,14.0173,16.2576,32.5799,10.3467,62.8472,99.7,9.22,注塑机龙头。PE 14.02/市值100亿显著低估，ROE年化16.26%良好，毛利32.6%、净利率10.3%制造业正常，营收+9.2%稳健，负债率62.8%偏高(融资租赁业务)但可控。低估值+高ROE+龙头地位，PASS(关注负债结构)
300442.SZ,润泽科技,大市值,软件服务,22.0036,16.6692,46.7988,31.8401,64.9706,1144.6,53.5532,润泽科技：第三方IDC数据中心龙头，PE 22+ROE年化16.7%+营收增速53.6%(PEG<0.5)低估组合，毛利率46.8%净利率31.8%双高。AI算力需求驱动机柜上架率提升，负债率65%偏高系重资产扩张属性属行业常态。估值与成长
300445.SZ,康斯特,小盘,电器仪表,34.5712,10.4124,63.5244,23.4279,8.1625,40.1,24.5567,压力/温度校准仪器商，技术壁垒型好生意。毛利63.5%/净利23.4%双高，ROE10.4%，负债率仅8.2%财务极稳健。营收+24.6%成长明确。PE34.6x对应高成长合理。经营现金流环比-77.8%为回款时点波动需跟踪，股东户数减少筹
300453.SZ,三鑫医疗,小盘,医疗保健,17.8343,18.3084,37.1083,18.4466,33.7571,49.9,13.393,"三鑫医疗(医疗保健/血液净化耗材):PE17.8便宜/市值49.9亿,ROE年化18.3%,毛利37.1%,净利18.4%,负债率33.8%中,营收+13.4%.冷信:无显著突变,数据干净.加权3.9星PASS:高ROE+低估值+稳健成长,"
300458.SZ,全志科技,大市值,半导体,92.0204,25.2428,40.2106,22.2631,18.7323,343.8,47.1241,AIoT SOC芯片设计。PE 92.02/市值344亿高但ROE年化25.24%优秀+营收+47.1%高增长(PEG约1.95)，毛利40.2%、净利率22.3%优质，负债率仅18.7%财务健康。高ROE+高成长+轻资产芯片设计，估值高但
300487.SZ,蓝晓科技,大市值,化工原料,39.4887,16.1852,55.4818,29.994,31.5658,349.8,5.2433,吸附分离树脂龙头(盐湖提锂/半导体纯化)。PE 39.49/市值350亿中性，ROE年化16.19%良好，毛利55.5%、净利率30%优质，负债率31.6%健康，营收+5.2%增速偏缓。高毛利+高ROE+细分龙头壁垒，盈利质量扎实，PASS
300502.SZ,新易盛,大市值,通信设备,54.6493,58.07,49.161,33.2721,31.035,5869.1,105.7595,光模块龙头(AI算力核心受益)。PE 54.65/市值5869亿高但PEG约0.5，ROE年化58.07%顶级，毛利49.2%、净利率33.3%极优，营收+105.8%爆发(800G/1.6T放量)，负债率31%健康。AI高景气+顶级盈利质
300515.SZ,三德科技,小盘,电器仪表,17.4033,13.9856,58.6829,26.2402,33.396,32.8,18.1734,三德科技(煤质分析仪器):ROE 21.1%+毛利54.5%+净利28%+扣非+28.7%+经营现金流2.12亿(净现比114%)。年报口径应收/营收仅0.35倍健康（Worker单季口径1.60倍为误判）。人工复核升级PASS
300573.SZ,兴齐眼药,大市值,化学制药,20.1296,39.6652,82.0522,30.2068,20.5104,152.3,27.4549,眼科药龙头(低浓度阿托品近视防控独家)。PE 20.13/市值152亿显著低估，ROE年化39.67%顶级，毛利82.1%、净利率30.2%极强，营收+27.5%高增长，负债率20.5%低。顶级ROE+独家品种+低估值，极度低估标的，强烈P
300604.SZ,长川科技,大市值,半导体,116.2392,28.6988,56.8083,26.0505,49.4151,1828.4,69.0854,半导体测试设备龙头(国产替代核心)。PE 116.24/市值1828亿极高但营收+69.1%增速强劲(PEG约1.7)，ROE年化28.7%优秀，毛利56.8%、净利率26.1%优质，负债率49.4%中等。设备龙头+高ROE+高成长，估值高
300628.SZ,亿联网络,大市值,通信设备,18.423,27.1668,65.2371,45.7947,7.5776,496.4,18.8259,统一通信SIP话机全球龙头。PE 18.42/市值496亿显著低估，ROE年化27.17%优秀，毛利65.2%、净利率45.8%顶级盈利质量，负债率仅7.6%极健康，营收+18.8%稳健增长。顶级ROE+顶级净利率+低估值，极度低估标的，强
300693.SZ,盛弘股份,大市值,电气设备,24.4714,15.4168,40.5799,11.5134,45.4288,119.5,23.1295,充电桩+储能变流器。PE 24.47/市值120亿估值合理，ROE年化15.42%良好，毛利40.6%、净利率11.5%尚可，营收+23.1%稳健增长(新能源需求)，负债率45.4%中等。合理估值+良好ROE+赛道景气，PASS。
300750.SZ,宁德时代,大市值,电气设备,21.1231,24.1654,23.9284,16.9837,63.6525,17954.7,54.8004,全球动力电池龙头，ROE 24.2%优秀，营收增速54.8%高增长，PE 21.1倍PEG约0.4明显低估，毛利率23.9%净利率17%规模效应显著；负债率63.7%偏高但龙头现金流强，护城河深。PE合理+ROE高+增速稳，PASS
300773.SZ,拉卡拉,大市值,软件服务,10.3719,52.0024,24.1516,36.5749,60.6905,172.7,24.1971,拉卡拉：第三方支付龙头(银行卡收单)，PE 10.4极低+ROE年化52%极优秀，净利率36.6%高，营收增速24.2%稳健，支付行业准金融牌照壁垒。负债率60.7%属支付行业备付金属性常态。冷信息现金流单季为负但系支付行业周期性，股东户数
300861.SZ,美畅股份,大市值,矿物制品,28.2801,11.9344,39.0664,32.8642,8.0553,116.4,39.7059,光伏金刚石线龙头。PE 28.28/市值116亿估值合理，ROE年化11.93%中等，毛利39.1%、净利率32.9%优质，营收+39.7%高增长，负债率仅8.1%财务极健康。高净利率+极低负债+合理估值+高成长，PASS。
300866.SZ,安克创新,大市值,元器件,27.3317,17.3872,43.6401,6.1901,43.9193,689.0,26.9341,消费电子出海龙头(安克)，ROE 17.4%不错、毛利率43.6%品牌溢价显著、营收增速26.9%稳定高增，PE 27.3倍PEG约1.0估值合理；净利率6.2%偏低系亚马逊渠道及营销费用所致但ROE仍在高位，成长确定性强，PASS
300867.SZ,圣元环保,小盘,环境保护,15.0718,11.322,51.6444,28.2702,54.932,44.7,8.4181,垃圾焚烧发电特许经营商，牌照壁垒型好生意。毛利51.6%/净利28.3%双高，ROE11.3%，营收+8.4%稳定增长。PE15.1x估值合理。负债率54.9%偏高但为BOT重资产行业特性，经营现金流稳定。冷信息无异常。行业需求刚性（环保刚
300871.SZ,回盛生物,小盘,农业综合,16.1733,14.0328,35.5121,17.0759,30.1779,46.3,14.8216,兽药/动物保健商，GMP资质+渠道壁垒。ROE14.0%/毛利35.5%/净利17.1%稳健，营收+14.8%增长明确。PE16.2x估值合理。负债率仅30.2%财务健康，经营现金流稳定，冷信息无异常。养殖业规模化驱动兽药需求长期增长，综合
300908.SZ,仲景食品,小盘,食品,17.6453,11.7716,44.4637,18.1644,12.205,34.8,6.7847,调味食品(香菇酱等)，PE_TTM17.6合理，ROE11.8%(年化)；毛利率44.5%/净利率18.2%优秀，负债率仅12.2%，营收增速6.8%稳健；冷信息无应收/现金流风险(环比下滑为食品季节性)；低负债高盈利质量，加权约3.65分
301019.SZ,宁波色母,小盘,塑料,26.582,10.3988,37.254,22.8323,10.0351,30.3,19.8118,色母粒细分龙头，配方技术+客户粘性护城河。毛利37.3%/净利22.8%优秀，ROE10.4%，营收+19.8%成长明确。负债率仅10.0%极稳健。PE26.6x中等合理。经营现金流环比-92.2%需跟踪（疑回款时点/备货），无应收异常。综
301031.SZ,中熔电气,大市值,电气设备,28.0125,28.3344,35.8881,17.9039,53.773,128.4,61.9216,电力熔断器龙头(新能源车/储能)。PE 28.01/市值128亿合理，ROE年化28.33%优秀，毛利35.9%、净利率17.9%良好，营收+61.9%高增长(新能源放量)，负债率53.8%偏高但可控。高ROE+高成长+合理估值，优质标的，
301087.SZ,可孚医疗,大市值,医疗保健,31.4042,8.9212,55.1541,10.6099,31.0338,121.6,37.2159,家用医疗器械（血压计/护理类），营收增速37.2%高成长：PE31.4/市值122亿/ROE8.9%/毛利55.2%/净利率10.6%/负债率31%。PEG约0.85，估值对增速合理。注意：ROE与净利率双低（次新股净资产稀释+费用率高），
301101.SZ,明月镜片,小盘,文教休闲,29.4705,12.5424,55.1998,24.6024,11.0488,59.5,18.3167,国产镜片品牌龙头，品牌+渠道+原料一体化壁垒。毛利55.2%/净利24.6%优秀，ROE12.5%，营收+18.3%成长稳定。负债率仅11.0%极稳健，冷信息无异常。PE29.5x合理。近视防控+功能镜片渗透率提升驱动需求，综合3.9星，P
301219.SZ,腾远钴业,大市值,小金属,12.6218,22.0724,34.6025,20.5501,30.5744,191.6,75.1256,"腾远钴业(小金属,191.6亿):PE12.6低,ROE22.1%优,毛利34.6%/净利20.6%强,营收+75.1%高增,负债率30.6%健康。钴为电池关键金属,景气上行。注意周期股低PE或为景气高点信号,但当前ROE与增速匹配,估值不"
301246.SZ,宏源药业,大市值,化学制药,32.8159,12.7348,32.0023,20.4964,26.6704,83.5,62.3063,"宏源药业(化学制药,83.5亿):PE32.8vs营收+62.3%,PEG约0.53估值合理。ROE12.7%一般,毛利32%/净利20.5%医药属性质量好,负债率26.7%低。化学原料药+制剂双轮,高增速消化估值,PASS。"
301289.SZ,国缆检测,小盘,电器仪表,37.6733,9.878,58.0553,31.094,19.1299,34.0,10.0986,电缆第三方检测机构，CMA/CNAS资质壁垒强。毛利58.1%/净利31.1%双高，ROE9.9%，营收+10.1%稳健增长。负债率仅19.1%财务健康，冷信息无异常。PE37.7x偏高但检测行业具牌照稀缺性，需求刚性。综合3.65星，PA
301308.SZ,江波龙,大市值,半导体,30.08,154.192,55.5274,40.1602,65.5502,1635.6,132.7928,"江波龙(半导体存储,1635.6亿):PE30对营收+132.8%不贵,ROE年化154%爆发,毛利55.5%/净利40.2%极强。负债率65.5%偏高。存储涨价超级周期,当前业绩和估值匹配;但强周期股需警惕存储价格见顶回落风险,业绩弹性大"
301345.SZ,涛涛车业,大市值,摩托车,30.5258,19.0616,40.902,16.6484,37.2157,276.7,65.6579,"涛涛车业(摩托车/休闲车,276.7亿):PE30.5vs营收+65.7%,PEG约0.46低估。ROE19.1%良好,毛利40.9%/净利16.6%强,负债率37.2%适中。电动休闲车出海成长,增速快估值合理,PASS。"
301371.SZ,敷尔佳,大市值,日用化工,25.4959,11.8708,77.2024,31.2889,4.7743,130.8,82.1167,"敷尔佳(医美护肤日用化工,市值131亿)质地优秀:毛利率77.2%品牌力强,净利率31.3%,负债率仅4.8%几乎无杠杆,ROE年化11.9%,营收增速82.1%,PE_TTM25.5,PEG约0.3明显低估。消费品牌壁垒+轻资产+高现金流"
301536.SZ,星宸科技,大市值,半导体,108.3873,27.2672,46.0536,22.2622,41.0558,517.4,49.347,端侧AI芯片（IPC SoC全球龙头，联发科系）：PE108/市值517亿/ROE27.3%优秀/毛利46.1%/净利率22.3%/营收增速49.3%高成长。PEG约2.2，高成长溢价尚可接受。风险：存货激增30.8%（9.3亿→12.2亿
301566.SZ,达利凯普,大市值,元器件,61.3931,14.4116,67.6235,46.9664,4.4902,99.2,13.8762,"达利凯普(射频MLCC,99.2亿):质地顶级,毛利67.6%/净利47%/负债率4.5%,国产射频电容稀缺龙头护城河深。PE61.4对营收+13.9%偏贵(PEG约4.4),ROE14.4%尚可。财务质量近乎无瑕疵,长期逻辑强,短期估值需"
301606.SZ,绿联科技,大市值,元器件,27.6934,27.1556,39.2578,8.4927,26.2234,219.3,53.4216,消费电子配件品牌（充电/扩展坞，亚马逊+国内电商）：PE27.7/市值219亿/ROE27.2%优秀/毛利39.3%/净利率8.5%偏低/负债率26.2%。营收增速53.4%高成长，PEG仅0.52明显低估，ROE27%质量好，筹码集中。风
301677.SZ,欣兴工具,小盘,机械基件,31.3775,13.7932,53.882,37.614,12.6072,62.6,6.7815,"欣兴工具(机械基件/数控刀具):PE31.4/市值62.6亿,ROE年化13.8%,毛利53.9%,净利37.6%极高,负债率12.6%极低,营收+6.8%.冷信:Q2营收/净利/现金流环比-75%~-93%(季节性),无应收存货异常.加权"
301680.SZ,固德电材,小盘,汽车配件,42.7041,14.68,28.2389,15.7093,17.9133,76.9,48.9175,电工绝缘材料（新能源配套）商，营收+48.9%高成长，PEG约0.87。ROE14.7%/净利15.7%稳健，负债率仅17.9%财务健康。PE42.7x对应高成长尚合理。冷信息营收环比-67.6%/净利环比-72.6%波动大（疑单季扰动或新
301696.SZ,三瑞智能,大市值,电气设备,90.7158,42.4948,58.5971,39.2685,15.6657,425.4,72.6348,"三瑞智能(锂电检测设备,425.4亿):质地极佳,ROE42.5%/毛利58.6%/净利39.3%/负债率15.7%,营收+72.6%。PE90.7对增速PEG约1.25偏贵但盈利质量顶级,轻资产高毛利高增长,PASS。"
600018.SH,上港集团,大市值,港口,8.7906,11.2024,39.4234,43.3125,29.0853,1201.2,8.0418,"上港集团(港口基建,市值1201亿)PE_TTM8.8显著低估,ROE年化11.2%稳定,净利率43.3%高(港口重资产特性),毛利39.4%,负债率29%低杠杆,营收增速8%稳健。全球第一大集装箱港核心枢纽壁垒,经营现金流充沛,季度环比波"
600026.SH,中远海能,大市值,水运,17.6006,18.3752,42.6583,31.4295,45.5505,968.4,26.9218,油运龙头（VLCC全球领先，中远海运央企）：PE17.6/市值968亿/ROE18.4%优秀/毛利42.7%/净利率31.4%/负债率45.6%。营收增速26.9%，PEG约0.65低估，业绩预增公告利好，油运景气周期。风险：周期股景气高点
600030.SH,中信证券,大市值,证券,12.9645,12.4872,,45.1688,84.8417,4367.0,40.9138,"中信证券(证券,4367亿,金融豁免):PE13合理,ROE12.5%达标,营收+40.9%显著高增,净利率45%行业龙头水准。牛市成交放大业绩弹性大,龙头地位稳固,估值与成长匹配,PASS。"
600036.SH,招商银行,大市值,银行,6.4912,11.8508,,43.7635,90.4294,9785.3,3.8077,"招商银行(银行,9785.3亿,金融豁免):PE6.5历史低位,ROE11.85%银行最优质档,净利率43.8%,营收+3.8%稳健。零售银行护城河深,资产质量业内最佳,低估值+高ROE,价值凸显,PASS。"
600211.SH,西藏药业,大市值,生物制药,13.1812,31.0412,92.8995,39.0898,33.8568,127.5,1.6064,"西藏药业(生物制药,市值128亿)质地优异:ROE年化31%极高,毛利率92.9%,净利率39.1%,PE_TTM仅13.2,PB合理显著低估。核心品种心脑血管处方药壁垒,应收骤降33%回款改善,有回购动作,股东户数减少筹码集中。负债率33"
600236.SH,桂冠电力,大市值,水力发电,22.1068,16.9972,56.1331,35.4771,55.1961,851.3,37.5917,水电龙头（红水河流域，大唐系）：PE22.1/市值851亿/ROE17%优秀/毛利56.1%/净利率35.5%/负债率55.2%（水电重资产常态）。营收增速37.6%（来水丰年），水电现金流永续稳定。注意：PE22.1对公用事业略偏高，来水
600276.SH,恒瑞医药,大市值,化学制药,44.6498,14.6184,86.5986,28.0201,10.0244,3625.2,12.9754,"恒瑞医药(创新药龙头,3625.2亿):毛利86.6%/净利28%/负债率10%医药顶级质地,ROE14.6%。PE44.6对营收+13%偏贵,但创新药管线价值未在报表完全体现,长期逻辑强,质地支撑估值,PASS。"
600285.SH,羚锐制药,大市值,中成药,15.9852,27.9548,78.1878,21.9738,38.2246,126.1,10.3177,"羚锐制药(中成药贴膏,126.1亿):ROE28%优秀,毛利78.2%/净利22%消费级盈利能力,PE16低估,营收+10.3%稳健,负债率38.2%适中。通络祛痛膏等大单品品牌力强,低估值+高回报,PASS。"
600300.SH,维维股份,小盘,软饮料,14.5536,9.184,28.7999,8.8109,23.4332,50.6,11.3118,植物蛋白饮料老品牌（维维豆奶），品牌认知度高、消费粘性强。ROE9.2%/毛利28.8%/净利8.8%稳健，营收+11.3%平稳增长。PE14.6x估值便宜，负债率23.4%低。冷信息营收环比-71.7%/净利环比-74.8%波动大疑季节性
600329.SH,达仁堂,大市值,中成药,13.1305,23.1872,77.7066,27.9215,27.9198,286.3,4.1163,"达仁堂(中药老字号,286.3亿):ROE23.2%优秀,毛利77.7%/净利27.9%中药高盈利,PE13.1低估,负债率27.9%健康。速效救心丸等品牌老字号护城河,增速+4.1%稳健偏慢但估值极便宜,PASS。"
600338.SH,西藏珠峰,大市值,铅锌,22.4891,15.9972,71.0622,21.1312,33.234,127.3,47.8762,"西藏珠峰(铅锌+盐湖锂,127.3亿):毛利71.1%资源股高毛利,营收+47.9%高增,ROE16%良好,PE22.5对增速PEG约0.47便宜,负债率33.2%适中。铅锌价格+盐湖提锂双驱动,估值与成长匹配,PASS。"
600351.SH,亚宝药业,小盘,中成药,14.6017,12.4514,53.9852,15.6541,15.0326,47.2,0.486,"亚宝药业(中成药):PE14.6便宜/市值47.2亿,ROE年化12.5%,毛利54%,净利15.7%,负债率15%低,营收增速0.5%停滞.冷信:无财务异常,股东户数-9.2%筹码集中,近期2条回购公告.加权3.9星PASS:低估值+高毛"
600398.SH,海澜之家,大市值,服饰,13.3282,20.2076,45.3234,13.8032,41.8604,290.6,7.6638,国民男装品牌（轻资产加盟+高分红）：PE13.3低估/市值291亿/ROE20.2%优秀/毛利45.3%/净利率13.8%/负债率41.9%。营收增速7.7%稳健，PEG约1.7，股息率可观（约6%+），典型价值股。风险：男装行业增长乏力，
600415.SH,小商品城,大市值,商品城,15.1243,16.9248,33.7785,21.6261,45.7309,664.1,45.2914,"小商品城(义乌市场+数字化,664.1亿):PE15.1vs营收+45.3%,PEG约0.33低估,ROE16.9%良好,毛利33.8%/净利21.6%优质。义乌全球小商品集散地+Chinagoods跨境电商增量,负债率45.7%适中,估值"
600489.SH,中金黄金,大市值,黄金,20.1597,30.1696,20.4656,12.6864,43.013,1265.1,52.0092,"中金黄金(黄金,1265.1亿):金价上行周期ROE30.2%高,营收+52%高增,PE20.2对增速PEG约0.39低估,负债率43%适中,毛利20.5%/净利12.7%矿业属性。黄金避险+央行购金逻辑,估值与景气匹配,PASS。"
600499.SH,科达制造,大市值,专用机械,17.6605,18.2272,34.3742,19.1266,46.2313,273.5,25.4775,"科达制造(陶瓷机械+锂电,273.5亿):PE17.7vs营收+25.5%,PEG约0.69低估,ROE18.2%良好,毛利34.4%/净利19.1%优质。陶瓷机械全球龙头+非洲建材+蓝科锂业碳酸锂弹性,负债率46.2%适中,估值成长匹配,"
600519.SH,贵州茅台,大市值,白酒,19.7864,42.2748,89.7592,52.2245,12.1227,16366.3,6.538,"贵州茅台(白酒,16366.3亿):PE19.8历史低位,ROE42.3%/毛利89.8%/净利52.2%/负债率12.1%全部顶级,营收+6.5%稳健。品牌护城河无与伦比,增速放缓但估值已回落至有吸引力的区间,确定性溢价,PASS。"
600595.SH,中孚实业,大市值,铝,9.522,21.247,21.686,12.8016,33.2596,265.7,34.8459,"中孚实业(电解铝,265.7亿):PE9.5极低,ROE21.2%良好,营收+34.8%铝价景气高增,负债率33.3%适中,毛利21.7%/净利12.8%铝冶炼属性。绿电铝成本优势+周期上行,低估值高回报,PASS。"
600598.SH,北大荒,大市值,种植业,17.741,28.0216,64.2689,55.2715,45.4312,214.4,9.5433,"北大荒(农垦土地,214.4亿):ROE28%/毛利64.3%/净利55.3%极高,黑土地资源稀缺性,营收+9.5%稳健,PE17.7估值合理,负债率45.4%适中。粮食安全战略+土地资源重估逻辑,PASS。"
600694.SH,大商股份,小盘,百货,10.9302,12.19,42.2136,15.1819,46.5127,54.7,2.6604,东北区域百货龙头，ROE12.2%/毛利42.2%/净利15.2%稳健，净利2.75亿。PE10.9x估值便宜具安全边际。负债率46.5%偏高但百货业常态。营收+2.7%增长平淡但盈利稳定。冷信息应收激增53.5%、净利环比-44.0%需跟
600872.SH,中炬高新,大市值,食品,24.0889,17.8624,42.4239,19.9933,26.612,149.1,19.8762,调味品（厨邦酱油，华润入主治理改善）：PE24.1/市值149亿/ROE17.9%/毛利42.4%/净利率20%/负债率26.6%低。营收增速19.9%，PEG约1.2合理。利好：近10次回购+业绩预增+股权激励+增持，筹码集中。调味品消费
600885.SH,宏发股份,大市值,电气设备,28.1125,17.892,32.6768,13.7491,34.3297,548.0,32.047,"宏发股份(继电器全球龙头,548亿):ROE17.9%良好,营收+32%新能源车高压继电器放量,PE28.1对增速PEG约0.88合理,毛利32.7%/净利13.7%优质,负债率34.3%适中。全球继电器份额领先+新能源弹性,估值成长匹配,"
600897.SH,厦门空港,小盘,机场,11.9721,9.564,33.7516,25.1272,14.0713,61.0,1.0324,厦门机场运营商，区域性航空枢纽天然垄断壁垒。净利25.1%/毛利33.8%优秀，ROE9.6%，负债率仅14.1%极稳健。PE12.0x估值便宜。营收+1.0%平稳。冷信息营收环比-76.2%/净利环比-77.4%大幅波动疑Q1航空淡季季节
600900.SH,长江电力,大市值,水力发电,18.8175,12.04,55.6463,38.005,57.3271,6789.9,6.4428,"长江电力(水电龙头,市值6790亿)PE_TTM18.8对应稳定回报合理,ROE年化12%,毛利率55.6%,净利率38%(水电高折旧特性),营收增速6.4%稳健,股息率吸引力强。垄断性长江干流六座梯级电站,永续经营+现金流极充沛,负债率5"
600901.SH,江苏金租,大市值,多元金融,11.1943,12.9104,,46.163,85.2649,368.4,16.4593,"江苏金租(金融租赁,368.4亿,金融豁免):PE11.2低估,ROE12.9%达标,营收+16.5%增长优秀,净利率46.2%。金融租赁行业龙头,资产质量稳健,低估值+稳定高增长,PASS。"
600908.SH,无锡银行,大市值,银行,5.0857,10.8988,,45.8612,91.8704,118.3,2.5956,"无锡银行(银行,118.3亿,金融豁免):PE5.1极低,ROE10.9%城商行优质达标,净利率45.9%,营收+2.6%稳健。长三角区位资产质量好,股息率可观,低估值高股息价值股,PASS。"
600919.SH,江苏银行,大市值,银行,6.0403,12.4104,,45.1817,93.6197,2132.4,8.4118,"江苏银行(银行,2132.4亿,金融豁免):PE6.04低估,ROE12.4%股份行最高档,营收+8.4%城商行领先,净利率45.2%。长三角高成长城商行,资产质量与业绩增速双优,低估值高股息,PASS。"
600926.SH,杭州银行,大市值,银行,5.9064,15.9148,,63.7053,93.0193,1159.8,4.2888,"杭州银行(银行,1159.8亿,金融豁免):PE5.9低估,ROE15.9%城商行最高档,净利率63.7%盈利效率顶级,营收+4.3%稳健。杭州区位优质,资产质量优异,低估值高回报,PASS。"
600938.SH,中国海油,大市值,石油开采,11.9451,19.0964,51.1738,33.7563,27.0925,14891.1,8.6333,"中国海油(石油开采,14891.1亿):ROE19.1%优秀,毛利51.2%/净利33.8%成本优势极强,负债率27.1%低,PE11.9便宜。低成本深水油气龙头+高分红,营收+8.6%稳健,低估值高回报,PASS。"
600988.SH,赤峰黄金,大市值,黄金,22.2983,28.5368,59.2701,32.5089,29.3577,799.9,47.6534,金矿成长龙头（国内+海外并购扩张）：PE22.3/市值800亿/ROE28.5%优秀/毛利59.3%/净利率32.5%/负债率29.4%低。营收增速47.7%，PEG约0.47明显低估，业绩预增+扩产中标。黄金景气周期（央行购金+避险），金
